epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,389.908,0.20007,1.44777,0.93259,0.66143,0.70261,0.75662,0.73723,0.22261,0.96624,0.78968,0.00333084,0.00333084,0.00333084
2,760.861,0.17416,0.71444,0.89524,0.83965,0.76505,0.89019,0.84928,0.26304,0.67028,0.83978,0.0063343,0.0063343,0.0063343
3,1131.22,0.18248,0.63218,0.89817,0.91428,0.82732,0.93729,0.91434,0.21432,0.48217,0.75695,0.00900776,0.00900776,0.00900776
4,1500.19,0.15812,0.57474,0.88971,0.91745,0.90783,0.96624,0.95117,0.17875,0.34485,0.73277,0.008515,0.008515,0.008515
5,1868.67,0.13164,0.48926,0.88121,0.94876,0.90067,0.97445,0.96892,0.12544,0.27345,0.67613,0.00802,0.00802,0.00802
6,2238.13,0.11956,0.44898,0.87835,0.95385,0.93505,0.98295,0.97977,0.11784,0.22379,0.6744,0.007525,0.007525,0.007525
7,2607.13,0.11146,0.4162,0.87603,0.96231,0.94356,0.98598,0.98431,0.11578,0.20295,0.67243,0.00703,0.00703,0.00703
8,2977.63,inf,0.3951,0.87484,0.95605,0.95649,0.98744,0.98522,0.11249,0.18806,0.67039,0.006535,0.006535,0.006535
9,3348.6,0.10049,0.37361,0.87328,0.96165,0.95497,0.98778,0.98603,0.11239,0.18353,0.67173,0.00604,0.00604,0.00604
10,3718.86,0.09685,0.35503,0.87177,0.97316,0.95013,0.98869,0.98721,0.10402,0.17183,0.66177,0.005545,0.005545,0.005545
11,4122.84,0.08792,0.25752,0.85144,0.97076,0.95565,0.98955,0.98844,0.09792,0.16055,0.65762,0.00505,0.00505,0.00505
12,4480.42,0.08108,0.23228,0.84702,0.97489,0.95804,0.98974,0.98888,0.09443,0.15493,0.65434,0.004555,0.004555,0.004555
13,4837.36,0.07616,0.21046,0.84517,0.97055,0.96287,0.99013,0.98937,0.09216,0.15097,0.65207,0.00406,0.00406,0.00406
14,5194.44,0.07262,0.19506,0.84322,0.97086,0.96397,0.99023,0.98954,0.09112,0.14871,0.6513,0.003565,0.003565,0.003565
15,5551.5,0.06887,0.17984,0.84136,0.97559,0.96067,0.99041,0.98971,0.09056,0.14661,0.65061,0.00307,0.00307,0.00307
16,5908.01,0.06608,0.16242,0.84034,0.97604,0.96178,0.99056,0.98994,0.09029,0.14524,0.6502,0.002575,0.002575,0.002575
17,6264.26,0.0622,0.14764,0.83777,0.97598,0.96341,0.99073,0.99012,0.08975,0.14403,0.64969,0.00208,0.00208,0.00208
18,6621.33,0.0588,0.1317,0.83805,0.97665,0.96479,0.9909,0.9903,0.08902,0.14239,0.64892,0.001585,0.001585,0.001585
19,6977.45,0.05516,0.11594,0.83802,0.97861,0.96282,0.99094,0.99029,0.08794,0.14091,0.64787,0.00109,0.00109,0.00109
20,7333.31,inf,0.10047,0.83603,0.97187,0.97036,0.99101,0.99048,0.08721,0.13983,0.64712,0.000595,0.000595,0.000595
