epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,260.843,0.49558,2.02464,1.15745,0.58798,0.68922,0.67056,0.55446,0.53914,1.29867,1.14451,0.00332915,0.00332915,0.00332915
2,506.603,0.51274,1.21368,1.14683,0.52346,0.52774,0.5259,0.3824,0.86909,1.49045,1.51521,0.00633269,0.00633269,0.00633269
3,753.767,0.59359,1.12435,1.20106,0.44065,0.35291,0.32058,0.22977,0.93922,2.37286,1.6675,0.00900623,0.00900623,0.00900623
4,1041.76,0.5981,1.06238,1.20418,0.48871,0.55731,0.54001,0.42501,0.69751,1.36104,1.31097,0.008515,0.008515,0.008515
5,1328.3,0.53486,0.93217,1.16319,0.70765,0.7066,0.76235,0.65553,0.49656,0.82986,1.09028,0.00802,0.00802,0.00802
6,1602.99,0.50007,0.8629,1.13975,0.73679,0.72118,0.78425,0.67765,0.46351,0.77165,1.06013,0.007525,0.007525,0.007525
7,1849.34,0.47443,0.8074,1.12189,0.80434,0.72766,0.82396,0.72828,0.4092,0.68508,0.99652,0.00703,0.00703,0.00703
8,2114.75,0.45913,0.77486,1.11197,0.78432,0.78166,0.85944,0.77602,0.37443,0.64398,0.95117,0.006535,0.006535,0.006535
9,2361.16,0.44144,0.74066,1.10016,0.84272,0.78445,0.88141,0.8053,0.35541,0.57664,0.94334,0.00604,0.00604,0.00604
10,2618.87,0.42662,0.71219,1.08988,0.84412,0.79403,0.88788,0.81625,0.32956,0.54137,0.90883,0.005545,0.005545,0.005545
11,2908.86,0.31326,0.58296,1.05224,0.82933,0.82552,0.90048,0.83533,0.30352,0.51396,0.88211,0.00505,0.00505,0.00505
12,3160.46,0.28897,0.53788,1.02552,0.87355,0.805,0.90765,0.84797,0.29285,0.48429,0.86655,0.004555,0.004555,0.004555
13,3400.91,0.27473,0.50212,1.01341,0.86203,0.80935,0.90867,0.85219,0.28041,0.47793,0.85192,0.00406,0.00406,0.00406
14,3662.73,0.26024,0.47148,0.99902,0.87797,0.79836,0.9055,0.85456,0.28106,0.47994,0.85393,0.003565,0.003565,0.003565
15,4041.03,0.24485,0.43434,0.98683,0.87996,0.81321,0.91172,0.86089,0.27163,0.46752,0.84605,0.00307,0.00307,0.00307
16,4322.48,0.23203,0.40937,0.97282,0.86535,0.8303,0.91326,0.86494,0.26806,0.46298,0.84223,0.002575,0.002575,0.002575
17,4561.11,0.21831,0.37557,0.96062,0.8746,0.83057,0.91673,0.86712,0.26573,0.45663,0.83983,0.00208,0.00208,0.00208
18,4810.43,0.20658,0.3417,0.95244,0.87186,0.84036,0.91879,0.86974,0.26473,0.45202,0.83935,0.001585,0.001585,0.001585
19,5049.28,0.19294,0.3106,0.9386,0.87011,0.83857,0.91842,0.87026,0.26396,0.45235,0.8398,0.00109,0.00109,0.00109
20,5297.1,0.18196,0.28422,0.92994,0.87764,0.83659,0.91756,0.87027,0.2647,0.45243,0.84154,0.000595,0.000595,0.000595
