epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,319.302,0.49558,2.02464,1.15745,0.59438,0.70483,0.68972,0.57195,0.54891,1.29022,1.14416,0.00332915,0.00332915,0.00332915
2,606.403,0.51682,1.22011,1.15007,0.57035,0.61752,0.60045,0.46902,0.68849,1.40639,1.32165,0.00649758,0.00649758,0.00649758
3,894.77,0.60062,1.13971,1.20636,0.57145,0.47319,0.51069,0.38889,0.77504,1.67795,1.44196,0.00950102,0.00950102,0.00950102
4,1170.34,0.6078,1.07848,1.21147,0.67388,0.64863,0.70564,0.59298,0.54959,1.01508,1.14832,0.0092575,0.0092575,0.0092575
5,1458.96,0.54288,0.94737,1.16913,0.75152,0.72159,0.80143,0.69374,0.48163,0.79856,1.06988,0.00901,0.00901,0.00901
6,1759.83,0.51142,0.88119,1.1474,0.74617,0.72807,0.80583,0.70931,0.4583,0.81163,1.04215,0.0087625,0.0087625,0.0087625
7,2046.08,0.48612,0.83171,1.12912,0.75277,0.7521,0.82993,0.74116,0.43112,0.76747,1.00735,0.008515,0.008515,0.008515
8,2354.62,0.47303,0.80099,1.12082,0.79912,0.78232,0.86183,0.77853,0.40425,0.65111,0.97084,0.0082675,0.0082675,0.0082675
9,2677.16,0.45819,0.77178,1.11083,0.86192,0.79522,0.89701,0.81871,0.36615,0.55765,0.9383,0.00802,0.00802,0.00802
10,2977.79,0.44802,0.74622,1.10365,0.84045,0.81277,0.90006,0.82924,0.35114,0.5495,0.92202,0.0077725,0.0077725,0.0077725
11,3268.37,0.44013,0.72798,1.09752,0.85761,0.82339,0.91104,0.84238,0.35224,0.51969,0.91293,0.007525,0.007525,0.007525
12,3567.46,0.4315,0.70828,1.09241,0.87217,0.82454,0.92,0.8566,0.33244,0.49205,0.90033,0.0072775,0.0072775,0.0072775
13,3853.44,0.42462,0.6988,1.08734,0.87286,0.83669,0.92273,0.86009,0.32292,0.47373,0.88738,0.00703,0.00703,0.00703
14,4147.44,0.42037,0.68328,1.08437,0.88523,0.83615,0.92913,0.87062,0.30737,0.45656,0.87174,0.0067825,0.0067825,0.0067825
15,4433.05,0.41273,0.66695,1.08065,0.88747,0.84077,0.93276,0.8749,0.2958,0.44379,0.85686,0.006535,0.006535,0.006535
16,4710.19,0.40524,0.65212,1.0747,0.87468,0.85702,0.93484,0.87969,0.29761,0.439,0.85935,0.0062875,0.0062875,0.0062875
17,4994.69,0.40249,0.64567,1.0727,0.88682,0.85259,0.93665,0.88251,0.29371,0.43352,0.85867,0.00604,0.00604,0.00604
18,5282.22,0.39528,0.63178,1.06766,0.89437,0.85418,0.93983,0.88779,0.27988,0.42183,0.84329,0.0057925,0.0057925,0.0057925
19,5569.63,0.38966,0.61629,1.06354,0.88889,0.85987,0.94169,0.89165,0.27597,0.41535,0.83704,0.005545,0.005545,0.005545
20,5847.74,0.39038,0.61093,1.06617,0.87913,0.87142,0.94274,0.89336,0.27295,0.41035,0.83279,0.0052975,0.0052975,0.0052975
21,6132.68,0.38284,0.59809,1.05952,0.88349,0.87451,0.94473,0.89596,0.27025,0.4059,0.82911,0.00505,0.00505,0.00505
22,6410.43,0.38032,0.59048,1.0576,0.88748,0.87253,0.94576,0.89701,0.26733,0.4019,0.8251,0.0048025,0.0048025,0.0048025
23,6696.26,0.37359,0.57699,1.05242,0.8875,0.8741,0.9465,0.89828,0.26362,0.39717,0.82119,0.004555,0.004555,0.004555
24,7000.23,inf,0.56547,1.05269,0.89037,0.87317,0.94744,0.9003,0.26204,0.39323,0.81963,0.0043075,0.0043075,0.0043075
25,7295.8,0.36776,0.56184,1.04961,0.89379,0.87055,0.94809,0.90162,0.26103,0.39088,0.81848,0.00406,0.00406,0.00406
26,7593.87,0.36185,0.54968,1.04707,0.89554,0.87428,0.94894,0.90297,0.26031,0.3875,0.81736,0.0038125,0.0038125,0.0038125
27,7867.68,0.35666,0.53767,1.04184,0.89345,0.87974,0.94971,0.90408,0.25859,0.38464,0.81529,0.003565,0.003565,0.003565
28,8172.72,0.35469,0.53412,1.04049,0.89355,0.88146,0.95034,0.905,0.25745,0.38186,0.81386,0.0033175,0.0033175,0.0033175
29,8448.87,0.35106,0.52124,1.03876,0.89706,0.88085,0.95101,0.90678,0.25575,0.37905,0.81173,0.00307,0.00307,0.00307
30,8751.78,0.34598,0.51002,1.03446,0.89553,0.88281,0.95153,0.90821,0.25357,0.37615,0.80926,0.0028225,0.0028225,0.0028225
31,9065.02,0.22314,0.36244,0.96535,0.89755,0.88458,0.95245,0.90997,0.25098,0.37234,0.80681,0.002575,0.002575,0.002575
32,9347.22,0.21115,0.33674,0.95278,0.89809,0.8868,0.95354,0.91161,0.2478,0.36763,0.80311,0.0023275,0.0023275,0.0023275
33,9617.79,0.20059,0.31164,0.9427,0.89804,0.8929,0.95444,0.91358,0.24572,0.36403,0.80083,0.00208,0.00208,0.00208
34,9912.55,0.19372,0.29537,0.93857,0.89955,0.89493,0.95542,0.91581,0.24377,0.36024,0.79862,0.0018325,0.0018325,0.0018325
35,10183.4,0.18854,0.27694,0.93247,0.90394,0.89368,0.95642,0.91782,0.24101,0.35563,0.79527,0.001585,0.001585,0.001585
36,10478.3,0.18244,0.26011,0.92771,0.91127,0.89104,0.95749,0.91973,0.23876,0.35147,0.79287,0.0013375,0.0013375,0.0013375
37,10748,0.17456,0.24109,0.92095,0.91585,0.89114,0.95826,0.92158,0.23661,0.34811,0.79047,0.00109,0.00109,0.00109
38,11041.5,0.16783,0.2288,0.91395,0.91806,0.89398,0.95942,0.92371,0.23374,0.34309,0.787,0.0008425,0.0008425,0.0008425
39,11310.7,0.16178,0.21241,0.91165,0.91818,0.89551,0.95997,0.92553,0.23148,0.33932,0.78452,0.000595,0.000595,0.000595
40,11630.2,0.15615,0.19965,0.90407,0.92346,0.89318,0.96078,0.92733,0.22992,0.33601,0.78251,0.0003475,0.0003475,0.0003475
